number,name,credit,sylabus
014113,יסודות,2.5,"הערה: חלק מציון המעקב הינו הגשת פרוייקט. סיווג מבנים קרקעות ויסודות. שיטת מודול המצע בחישוב יסודות. יסודות אקסצנטריים, יסודות משותפים קשיחים. תכן צורני וקונסטרוקטיבי של יסודות בודדים. תכן מערכת יסודות: קריטריוני כשל של מערכת יסודות בודדים. שקיעות דיפרנציאליות בסיסיות, טבעיות ומרוסנות. ריסון שקיעות ורדיסטרבוציה של מומנטים. אינטראקציה בין מבנה וקרקע והשפעת יחסי קשיחות. יסודות גמישים, קורה על מצע אלסטי. יסוד דוברה. חישוב כלונסאות לכוחות אופקיים."
014131,פרויקט מורחב במבנים-חלק א',2.5,"מיועד לסטודנטים במסלול מבנים בלבד. דרישות קדם: כל המקצועות החובה של מסלול הנדסת מבנים. הערה: קביעת הציון עפ""י מעקב במשך הסמסטר. ציון סופי ייקבע בגמר חלק ב' של הפרויקט. אין אפשרות לקבל ניקוד על מקצוע זה ללא השלמת חלק ב'. חלק א' (014131): תכן כללי של פרויקט מורכב בתחום הנדסת מבנים. לימוד עצמי מתוך ספרות מקצועית של נושאים שונים הקשורים לפרויקט. גיבוש חלופות תכן אפשריות שונות והשוואתן, כולל בחירת חלופת התכן המתאימה ביותר. ראה 014132. הערה: במתכונת חד-סמסטריאלית של מקצועות פרויקט מורחב - חלק א+ב היקף הלימוד השבועי הינו כפול מהרשום למעלה."
014132,פרויקט מורחב במבנים-חלק ב',2.5,"מיועד לסטודנטים במסלול מבנים בלבד. הערה: קביעת הציון עפ""י מעקב במשך הסמסטר, בדיקת הפרויקט המוגש והצגתו בפני ועדת שיפוט. אין אפשרות להתחיל בחלק ב' של הפרויקט לפני סיום חלק א' וקבלת ציון עובר על חלק א' של הפרויקט בסוף סמסטר הלימוד. דרישות קדם: כל המקצועות של מסלול הנדסת מבנים. פרויקט מורחב - חלק א'. חלק א' (014131): תכן כללי של פרויקט מורכב בתחום הנדסת מבנים. לימוד עצמי מתוך ספרות מקצועית של נושאים שונים הקשורים לפרויקט. גיבוש חלופות תכן אפשריות שונות והשוואתן, כולל בחירת חלופת התכן המתאימה ביותר. חלק ב' (014132): תכן סופי של חלופת התכן הנבחרת. אנליזה מפורטת של המבנה על חלקיו השונים. תכן מפורט והכנת תכניות כלליות ותכניות פרטניות של הפרויקט, משורטטת באמצעות מחשב. הכנת דו""ח מסכם של הפרויקט והצגתו בפני ועדת שיפוט בסוף סמסטר הלימוד. הערה: במסגרת הצגת הפרויקט יש להציג את שני חלקיו גם יחד. לא ניתן לקבל ציון על הפרויקט ללא הצגתו בסוף סמסטר הלימוד. הערה: במתכונת חד-סמסטריאלית של מקצועות פרויקט מורחב - חלק א+ב היקף הלימוד השבועי הינו כפול מהרשום למעלה."
014143,שיטות מחשב בסטטיקת מבנים,3,"ניסוח של שיטות הגמישות והקשיחות לפתרון מחשב. מטריצ גמישות וקשיחות של מוט פריזמטי. הרכבה שיטתית של מטריצת קשיחות של מבנה. תכנית מחשב לפתרון קורות נמשכות, מסבכים ומסגרות. מטריצת גמישות וקשיחות של מוט לא פריזמטי. מבוא לשיטת אלמנטים סופיים."
014145,תורת החוזק 2,5,"קריסה, קריסת עמודים, קריסת מסגרות, סימטריה בקריסת מסגרות, פתרון קריסה במחשב. קורות לחוצות צירית (קורת עמוד). אנרגיה במבנים, אנרגיה אלסטית, העמסה קוזיסטטית. שימור אנרגיה, מינימום אנרגיה, משפט קסטליאנו, שיטת ריץ. כפיפה משופעת, טרנספורמצית מומנטי אינרציה.  קורות לא הומוגניות. קריטריוני כניעה, התנהגות פלסטית של חתכים, אנליזה פלסטית של קורות ומסגרות, גרעין החתך."
014147,בניית המהנדס 1,4,"מושגי יסוד בתכן מערכות מבניות למערכות תבניות פשוטות ומורכבות. תכונות אופיניות של חומרי בניין ושילובם במערכת המבנית, תכן תפיסתי וניתוח המערכות המבניות מנקודות מבט יציבות, פונקציונליות, עלות, אופן הביצוע, סימטריה ונאמנות לסכמה המבנית. ניתוח מקרי כשל מבנים ואחריות הנדסית. פיתוח חשיבה ויזואלית, שפת התרשימים והיכולת להציע, לתאר, להשוות ולשפוט באופן בקורתי מערכות מבניות ליישומים שונים, כגון: אולמות בעלי מפתחים גדולים, בניינים רבי קומות, ברכות ומגדלי מים, מבנים מתועשים, מבנים תלויים וכו'. קביעת הציון עפ""י מעקב במשך הסמסטר, פרוייקטים שבועיים, פרוייקט ניסויי סמסטריאלי ובחינה סופית."
014149,מבני בטון 2,4.5,"תכן אלמנטים לחוצים (תמירות), חישוב חתכים לכפיפה דו-צירית עם ובלי כח צירי, פיתול, חדירה, טבלות מצולבות: המשוואה הדיפרנציאלית של טבלות מצולבות, פתרונות המשוואה למקרים מיוחדים, עומס סכין. מומנט סכומי, טבלות מצולבות נמשכות (חישוב ותכן), חישוב פלסטי של טבלות מצולבות, טבלות שטוחות ללא קורות, תקרת צלעות, תקרת ערוגות."
014153,מבני בטון 1,4,"הערה: קביעת הציון עפ""י ציון פרויקט ובחינה סופית. סקירה תמציתית  של תכונות הבטון והפלדה והשתקפותן בתכן מבנים מבטון מזוין. שיטת המצבים הגבוליים בתכן ובחישוב רכיבים מבטון מזוין. מצב גבולי של שירות. חישוב חתכים לכפיפה במצב גבולי של הרס ללא/עם כוח צירי. תקרות מקשיות מתוחות בכוון אחד. תכן רכיבי מבנה קויים - קו כח המתיחה, עיגון. תכן לגזירה ברכיבים מבטון מזוין. רדיסטריבוציה של מומנטים. מבוא לחישוב ישיר של שקיעות: מומנט הסדיקה, סקירת השיטות (מומנט אינרציה שקיל, עקמומיות שקילה)."
014201,פרויקט בהנדסת מים 1,2.5,"תכנון פרויקט יישומי בהנדסת מים בהפעלת חשיבה הנדסית-תכנונית, כלכלית וניצול הידע בהידרוליקה. השלבים העיקריים במהלך הלימודים: בחירת הנושא. איסוף נתונים, עיבודם ניתוחם והצגתם. עיבוד וגיבוש חלופות תכנוניות עפ""י פרמטרים הנדסיים, אופרטיביים, כלכליים ואחרים, ניתוחן והשוואתן. כתיבת דו""ח על הבעיות במצב הקיים, ממצאי העבודה שנעשתה, הצגת היתרונות והחסרונות של הפתרון המוצע והמלצות להמשך הפעילות בעתיד. הפרויקט יוגש בצורת תזכיר מפורט, בהיר ומסודר."
014205,הידרוליקה,3,"עקרונות זרימת נוזלים בלתי דחיסים במובילים סגורים וםתוחים. אנליזה ממדית ודמיות. שכבות גבול בזרימה טורבולנית. זרימה בצינורות: מפל לחץ והפסדים, מעברים, זרימה במערכת צינורות ומשאבות. זרימה בתעלות: זרימה קצובה, עקרונות תכן, אנרגיה סגולית ושימור תנע, עומק קריטי, מעברים, חתכי בקרה, זנק הידרולי, זרימה מודרגת וצירים הידרוליים."
014211,מכניקת זורמים,3,"הידרוסטטיקה, חוקי השימור של מערכות ונפחי בקרה, שיטות נתוח זרימה, מבוא לזרימה פוטנציאלית, מאמצים בזורמים, זרימה צמיגה."
014212,מבוא להידרולוגיה הנדסית,2.5,"המחזור ההידרולוגי, משוואות מאזן, תחום ההתנקזות, שימושי סטטיסטיקה בהידרולוגיה, גשמים, ניתוח נתוני גשם, גשם תכן, חידור וחילחול. זרימות באפיקים, הידרוגרמות, הידרוגרמת יחידה, הילוך גיאות, מי תהום, אקוויפרים ומיונם, חוק דארסי, קרוב דפאווי, זרימה תמידית לבארות."
014214,יסודות מכניקת הזורמים,4,"הגדרה ותכונות של זורמים, הידרוסטטיקה, משפט ההובלה וקינמטיקה, ניסוח אינטגרלי של חוקי היסוד (שימור מסה, אנרגיה ותנע), ניסוח דיפרנציאלי של חוקי היסוד (מש' הרציפות ומש' נוויה סטוקס),  תנאי שפה ופתרונות מדויקים, זרימה פוטנציאלית, זרימה טורבולנטית ושכבות גבול."
014300,סמינריון בהנ. סביבתית ומשאבי מים,1.5,"הערה: מיועד בעיקר לסטודנטים שסיימו לפחות 6 סמסטרים. לימוד נושא בעל אופי טכנולוגי  או כמותי בשטח הנ. הסביבה או משאבי מים ומדעי הסביבה. הנושא נבחר מתוך רשימה המוצעת ע""י המורה האחראי. או ע""י הסטודנט באישור המורה. הסטודנט לומד את הנושא באופן עצמאי, אוסף מידע ונתונים מספרות, שיחות עם אנשי מקצוע ומגיש את סיכומו בהרצאה ובדו""ח בכתב בהנחיית המורה. על הסטודנטים להיות נוכחים בכל הפגישות ולהשתתף בדיון אחרי כל הרצאה."
014301,פרויקט בהנדסה סביבתית,2.5,"תכנון כללי של פרוייקט בשטח הנדסה סביבתית. לימוד עצמי של בעיה הנדסית. השוואת פתרונות שונים, הכנת תכניות לאחד הפתרונות ודיווח טכני."
014305,מעבדה לטיפול במים ושפכים,2.5,"הערה: הציונים יינתנו עפ""י בחנים ודוחות מעבדה. מטרת הקורס הי ללמד טכניקות של בדיקות מעבדה הקשורות לטיפול במים ושפכים. הדמייה של תהליכי טיפול במים ובשפכים. תרגילי המעבדה כוללים בדיקות וניסויים נבחרים בשיטות כימיות וכימיות-פיסיקליות הקשורות בבקרת איכות מים, מקורות מים, תהליכי הטיפול במים, בשפכים ובבוצה."
014309,טכנולוגיות מים ושפכים,2.5,"מטרת הקורס היא להכיר לסטודנטים תהליכים מתקדמים ועתידיים לטיפול במים ושפכים. החלק הראשון של הקורס מוגדש לעיקרונות התכן של ריאקטורים מנתיים ורציפים לטיפול במים ושפכים. בחלק השני נלמד תהליכי ספיחה, תהליכי חמצון מתקדם, חילוף יונים , שיטות אלקטרוכימיות והידרותרמיות."
014313,מיקרוביולוגיה סביבתית ואפידמיולוג,3,"קבוצות עיקריות של מיקרואורגניזמים ותפקידם בסביבה. פעילות חיידקים בקרקע, ייצור חומרים אנטיביוטים, ביו-קונטרול, טיפול בזיהומי קרקע באמצעות חיידקים. גורל והובלה של חיידקים, פטריות ונגיפים באוויר. פתוגנים במים, הקשר בין חיידקים במים לבריאות הציבור, חיידקים אינדיקטורים לפי תקני מי שתייה, פרזיטים במי שתייה. מבוא לאפידמיולוגיה, אפידמיולוגיה של מים, QUANTITATIVE MICROBIAL RISK ASSESSMENT. ביו-קורוזיה במערכות מים. התהליך הביולוגי בטיפול בשפכים, תהליכי אגירה של מזהמים ( BIOACCUMULATION ), ניטריפיקציה, דנטריפיקציה, הרחקת זרחן. מיקרוביולוגיה של ביו-גז."
014318,הסביבה בעידן הטכנולוגי,2,"הקורס מיועד לכלל הסטודנטים בטכניון ומטרתו להקנות ידע מקיף ויכולת חשיבה ביקורתית בנושאי הסביבה בארץ ובעולם. הקורס יעסוק בהשפעות העידן הטכנולוגי על הסביבה מצד אחד, ושימוש בטכנולוגיות מתקדמות לטיפול בבעיות הסביבתיות שנוצרו מצד שני. הקורס יכלול התייחסות ספציפית לחמישה משאבים מרכזיים: מים, אויר, מזון, אנרגיה והשטחים הפתוחים. כל משאב ייבחן בהיבט של הבעיה הסביבתית העכשווית, ובהיבט של טכנולוגיות זמינות/ עתידיות לטיפול בבעיה."
014321,טוקסיקולוגיה סביבתית,2,"מושגי יסוד בטוקסיקולוגיה קלינית וסביבתית. הגומחה האקולוגית וגורמי הנזק לקיומה. מנגנוני הגנה רקמתיים ותאיים להגנה מפני פעולת מזהמים סביבתיים ונטרול רעילותם. הבנת תהליכים מסרטנים מבחינה גנטית, ביוכימית וקלינית. סיווג מסרטנים. השפעת מתכות, כימיקלים אורגאניים, דשנים וחומרי הדברה על הסביבה והאדם. תרכובות כימיות ופיזורן באוויר, באדמה ובמים. חלקיקים זעירים וננו-טוקסיקולוגיה. כימיקלים זרים (קסנוביוטים) מחוללי הפרעות אנדוקרינית ומחוללי השמנה. מזהמים אורגאניים נצחיים בסביבה. קרינה מייננת ובלתי מייננת סביבתית. חומרי בנייה, ריהוט וציפוי (אסבסט ואחרים). טוקסיקולוגיה של אש. הערכת סיכונים על פי מדדים אפידמיולוגיים. ניהול חיי המוצר ומחזור. אסונות אקולוגיים."
014322,יסודות הטיפול במים ושפכים,2.5,"פיתוח גישה תהליכית-הנדסית לטיפול במים ושפכים. איכות מים לפי שימושים. עקרונות תהליכי טיפול במים. הפרדת מוצקים בלתי מומסים: שיקוע, סינון הפתתה. פרדת מוצקים מומסים. מעבר גזים. חיטוי. מזהמים בשפכים ומשמעותם. טיפול בשפכים, הכולל טיפול פיזיקלי וביולוגי. טיפול בבוצה."
014325,תכן מערכות אספקת מים ואיסוף שפכים,3.5,"עקרונות תכנון והפעלה של מערכות אספקת מים ואיסוף שפכים. חישוב רשתות אספקת מים ורשתות איסוף שפכים. המטרה, המבנה וההכנה של פרויקט הנדסי. מטרות בתכנון הכללי, איסוף נתונים לתכנון ועיבודם, ניתוח טכנו- כלכלי של חלופות והשוואתן. סוגיות בתכנון מערכות אספקת מים ושפכים. פרויקט בתכנון כללי של מערכת טיפול ואספקת מים."
014405,גיאולוגיה הנדסית,2,"מינרלים וסלעים עיקריים, עיקרי הסטרטיגרפיה, מבנים גיאולוגיים, המבנה הגיאולוגי של ישראל, מפות גיאולוגיות. מי תהום, תופעות בליה. מבוא לסיסמולוגיה. *** הערה: היקף ההרצאות בפועל במקצוע הוא שעה וחצי לשבוע. אופן העברת ההוראה מתואמת בכל סמסטר בנפרד ע""י מורה המקצוע."
014409,גיאומכניקה,4,"יחסי משקל נפח, מיון, זרימת מים בקרקע, עקרון המאמצים האפקטיביים, השפעת זרימה על מאמצים אפקטיביים גרדינט קריטי, חתירה. פרוס מאמצים, קונסולידציה, דחיסות של חרסית רוויה, לחץ טרום, שקיעות סופיות, קונסולידציה בזמן, התפתחות שקיעות, חוזק קרקעות.,"
014501,פרויקט בחומרים ותפקוד,2.5,"מקצועות קדם: עבור פרויקט בחומרים - 014505 ו- 014506 ועוד שניים לפחות מבין: 014513, 014515, 014605, 014508, 014512, 014516, 016504, 016505, 014520. תכנון כללי של נושא בשטח חומרי בנייה ותפקוד. לימוד עצמי של בעיה הנדסית, השוואת פתרונות שונים, הכנת תכניות לאחד הפתרונות ודיווח טכני."
014503,פרויקט מעבדתי בחומרי בניה (1),0,"פרוייקט מעבדתי לפי בחירת הסטודנט מרשימת נושאים שתינתן על ידי המורה האחראי. לימוד עצמי של בעיה הנדסית בשטח חומרי בנייה ובחינת הפתרונות האפשריים על ידי ניסויים מעבדתיים. ניתוח וסיכום תוצאות הבדיקות. הפרוייקט מבוצע בקבוצות בנות 2 סטודנטים ומסתיים בהגשת הרצאה בע""פ ודו""ח מקיף בכתב. הפרוייקט נמשך 2 סמסטרים וחלק זה מהווה קדם להמשך הפרוייקט 014504."
014504,פרויקט מעבדתי בחומרי בניה (2),4,המשך הפרוייקט  014503.
014505,חומרי בנייה,3.5,"חומרי המליטה השונים. סיד אווירי ומוצרי חול סיד. גבס ומוצרי גבס, צמנט פורטלנד, הרכב כימי ומינרלי, סוגים. חומרים פוצולניים ותחליפי צמנט. התקשרות והתקשות, מבנה האבן הצמנטית, תכונות מכניות, שינויי נפח, קורוזיה. אגרגטים למלט ובטון - תכונות ודרישות איכות. מים. מוספים. תכונות הבטון הטרי והקשוי. יציקה ואשפרה, בקרת איכות, קיימות. בדיקת חומרים ומשמעותה. תכן תערובות בטון, הכנתן במעבדה ובדיקת תכונותיהן.% הערה: תרגילי המעבדה ניתנים אחת לשבועיים."
014506,טכנולוגיה מתקדמת של בטון,2,"התנהגות בטון במבנה - שינויי נפח וסדקים והאמצעים להקטנתם. בטונים מיוחדים ליציקות באתר ובתעשיה. פתרון בעיה ספציפית בטכנולוגיה של בטון במעבדה כולל: סקר ספרותי, ביקור באתרי בנייה ובתי חרושת במידת הצורך, עיבוד תוכנית ניסויים, בדיקות מוקדמות, תכן תערובת בטון, יציקת מדגמים, בדיקתם והערכת התוצאות. דווח בעל-פה ובכתב."
014512,אקוסטיקה בהנדסה אזרחית,2.5,"מושגי יסוד ואקוסטיקה אובייקטיבית.  שמיעה ואקוסטיקה סובייקטיבית. מאפיינים אקוסטיים של חומרים. בליעת קול ואקוסטיקה של חללים קטנים. בלימת קול והפסדי העברה של קירות. ריסון קול והשפעתה על בלימת קול. קול הולם ורצפות צפות. רעידות בהקשרים אקוסטיים ומניעתם. תקרות תותבות וגשרי קול. רעשי תחבורה וסביבה. אמצעי מיגון מפני רעשים חיצוניים. תקנים, תקנות והסדרים אקוסטיים חוקיים אחרים. שימושים אקוסטיים נוספים למדידות ולתהליכים."
014513,בניה במתכות-חומרים וטכנולוגיה,2.5,"סיווג המתכות בבניה. מבנה המתכות ותכונותיהן המכניות והפיסיקליות. שיטות ייצור ועיבוד. חיבורים בריתוך והברגה. פלדה: פלדות לזיון בטון, לדריכה, לכבלים, לפרופילים, למסמרים, לברגים. אלומיניום: ייצור, תכונות ומוצרים. אבץ, נחושת ועופרת: תכונות ושימושים בבניה. קורוזיה של מתכות ושיטות הגנה."
014518,חומרים 1,2.5,הערה: מיועד לארכיטקטים בלבד. סקירה כללית של חומרים שונים בשימוש בבנייה. דיון בתכונות החומרים ובשיקולי השימוש בהם בהקשר לתפקוד ומחזורי חייו של מרכיבי המבנה. מגמות וחידושים בפיתוח חומרים חדשים והתאמתם לשימושים אדריכליים. הערה: מעבדה בת שעתיים ניתנת אחת לשבועיים. ההרצאות מתקיימות במשך 12 שבועות.
014601,פרויקט בניהול הבנייה,2.5,"לימוד עצמי של בעיה הנדסית ופתרונה בתנאי מציאות. הסטודנט יכול לבחור בין פרויקט בתכנון הביצוע של אוביקט הנדסי, או ייזום ובדיקת כדאיות של פרויקט הנדסי."
014603,כלכלה הנדסית,2.5,"שיטות להשוואה כלכלית של חלופות הנדסיות, החלטות כלכליות הקשורות בציוד ונכסים, ניתוח השפעת האינפלציה והמיסוי על השוואת חלופות. שיווי משקל תחרותי - ביקוש והיצע."
014606,מבוא לניהול הבנייה,3,"מאפייני ענף הבנייה, שיטות לארגון ההפעלה של פרויקטים בבניה. המכרז והחוזה, עקרונות חישוב כמויות. תכנון לוח זמנים בשיטת הרשת, תכנון לוח זמנים בפרויקט קווי ובפרויקט מחזורי. תחשיב עלות הבניה. בחירת ציוד בנייה, עקרונות בטיחות בבנייה, ניהול איכות בבנייה."
014609,מיכון בבנייה,2.5,"מבוא לציוד בנייה, סיווג ציוד בנייה, התכונות והשימושים של ציוד הבנייה העיקר, עגורנים וציוד מרכזי אחר בבניית בניינים פרוסים וגבוהים, פרוייקטי הנדסה אזרחית, עלויות ציוד, שיקולים קשים ורכים בבחירת הציוד ובהפעלתו, תפוקות ציוד, בטיחות בשימוש בציוד ובסביבתו, מיקום הציוד באתר הבנייה, יחסי גומלין וארגון כולל של מערך הייצור, ארגון אתר הבנייה."
014613,ניהול משאבי אנוש בבנייה,2.5,"הערה: הציון מבוסס גם על הגשת עבודה, מצגת בכיתה וחובת נוכחות בשיעורים ספציפיים. מאפייני ענף הבנייה, מבנים ארגוניים, הליכי מיון וגיוס, תקשורת, עבודת צוות. שיטות מוטיבציה, הכשרה, הערכת עובדים, יחסי עבודה."
014615,מבוא לניהול פיננסי בבנייה,2.5,"הערה: הציון ינתן עפ""י מעקב במשך הסמסטר ובחן תקף. מטלות ניהול פיננסי בחברות בניה, ניהול ספרי חשבונות בבניה, עריכת דוחות פיננסיים בחברת בניה, ניתוח דוחות פיננסיים, מקורות לגיוס ההון."
014617,תכנון ובקרה של פרוייקטי בנייה,3,"תזמון, תקצוב ובקרה של פרוייקטי בניה בשילוב טכניקות עבודה ממוחשבות. הדגשת תהליכים של קבלת החלטות על בסיס בדיקת חלופות. נושאי הדיון כוללים: ניהול פרוייקטים מקוון, תזמון, כתבי כמויות, אומדני עלות, תחשיב עלויות, ניהול תקציב, ניהול הייצור בבנייה, תזרימי עלויות ותזרימי מזומנים, בקרת לו""ז ובקרה תקציבית."
014618,מבוא לניהול ובטיחות בבנייה,4,"מאפייני ענף הבנייה, שיטות לארגון ההפעלה של פרויקטים בבניה. המכרז והחוזה, עקרונות חישוב כמויות. תכנון לוח זמנים בשיטת הרשת, תכנון לוח זמנים בפרויקט קווי ובפרויקט מחזורי. תחשיב עלות הבניה. בחירת ציוד בנייה, עקרונות בטיחות בבנייה, ניהול איכות בבנייה."
014620,עקרונות תכן מבנים בהנדסת ביצוע,5,"תהליך תכן מבנים ועקרונות התכן. עומסים, רכיבים קווים ומישוריים, הערכת מידות הרכיבים. שילוב רכיבים ליצירת מערכות מבנה יציבות. סכימות סטטיות למבנה וניתוח תהליך זרימת הכוחות במבנה תוך כדי ביצוע ובמצבו הסופי. איתור תקלות תכנון או ביצוע חמורות. בחינת אלטרנטיבות שונות והשפעת הביצוע על בחירת הפתרון. שיטות בניה. יציבות אופקית - מערכת הקשחה. הצגה ודיון במקרי כשל."
014630,מבוא להיבטים משפטיים בבנייה,3,"הערה: קביעת הציון עפ""י מעקב במשך הסמסטר, השתתפות בהרצאות, הגשת תרגילים ועבודת גמר. עקרונות מערכת המשפט בישראל, מושגי יסוד: חוק, תקנה, תקן, הנחיות, חלוקת תחומי ענף הבנייה בין הרשויות השונות, חוק התכנון והבנייה, רישוי וייחוד פעולות, תקנות תכנון ובניה, תקנים ישראליים ומפרטי מכון התקנים, עקרונות מדרג תכניות ארציות/מחוזיות/מקומיות, תקנות רישוי בנייה, חוק מכר כללי וחוק מכר דירות."
014631,אומדן עלויות של פרויקטי תשתית,3,"סעיפי תקציב הפרויקט על כל שלביו, אומדן וניתוח של עלויות הנדסה ובנייה, אומדן וניתוח של עלויות קידום זמינות והפקעות, אומדן וניתוח של עלויות תכנון (שכר מתכננים) וניהול (ופיקוח), שיטות מקובלות לבקרת אומדנים ובקרה תקציבית, שיטות לניהול תזרימי מזומנים בפרויקטי בניה ותשתיות."
014701,פרויקט בתחבורה,2.5,"תכנון כללי של פרוייקט בתחום הנדסת תחבורה. לימוד עצמי של בעיה הנדסית, השוואת פתרונות שונים וניתוח רגישות, תכנון וניתוח אלטרנטיבות, הכנת פרשה טכנית ממצה ותמציתית. הפרויקט מתנהל במספר קבוצות בהתאם לתחומי ההתמחות המקצועיים. תחומי ההתמחות: תכנון תחבורה, הנדסת תעבורה ובקרה, תכן גיאומטרי ותפעול תנועה, שדות תעופה, מבנה מסעות, כלכלת תחבורה, תחבורה ציבורית, מערכות תחבורה מתקדמות ובטיחות בדרכים. הערה: לא כל הנושאים ניתנים מדי סמסטר."
014702,תכנון תחבורה,4.5,"מושגים בתכנון תחבורה, נתונים לתכנון תחבורה, מודלים מצרפיים ולא מצרפיים להתנהגות נוסעים וחיזוי הביקוש לתחבורה, חישוב מסלולים מינימליים והצבת תנועה, ניתוח רשתות תחבורה, הערכת פרויקטים תחבורתיים וניתוח תחבורתי בראיה בת קיימא. במעבדה הסטודנטים יתנסו בכלים שונים כולל ניתוח נתונים, תכנות לייצור רשתות תחבורה ותכנון תחבורה ואמידת מודלי ביקוש דיסאגרגטיבי."
014709,מעבדת דרכים,2,"חקירת שתית ואיפיון הנדסי של חומרי המיסעה. בדיקות על חומרי סלילה: יחסי צפיפות רטיבות. מת""ק, גבולות אטרברג, משקל יחסי, פחיסות ואלונגציה, שחיקות לוס אנג'לס ושווה ערך חול. הרכבת פרקציות לחומרים גרנולריים. תכנון תערובות אספלט בשיטת מרשל ובשיטת המהדק הסיבובי. סיווג ביטומנים לפי שיטת SHRP. בדיקות שדה מצומצמות: צפיפות שדה, דקר דרום אפריקאי. הערה: קביעת הציון עפ""י מעקב במשך הסמסטר, מבחן מסכם, מעקב על העבודה המעשית ודו""ח מעבדה."
